open,close,min,max,volume,timestamp
9330.64000000,9302.88000000,9293.40000000,9333.42000000,3569.75420800,1592625600000
9303.41000000,9325.87000000,9170.95000000,9380.00000000,9173.44677000,1592640000000
9325.87000000,9259.78000000,9232.33000000,9335.07000000,4732.91548400,1592654400000
9258.82000000,9286.54000000,9241.00000000,9319.45000000,4445.72080800,1592668800000
9286.46000000,9358.95000000,9286.46000000,9395.00000000,4652.67191100,1592683200000
9358.95000000,9371.78000000,9344.13000000,9400.00000000,3895.98789700,1592697600000
9371.82000000,9368.98000000,9356.05000000,9422.00000000,4286.29965400,1592712000000
9369.46000000,9358.50000000,9331.00000000,9385.26000000,3704.68053500,1592726400000
9358.50000000,9373.33000000,9321.71000000,9393.00000000,3984.58684100,1592740800000
9373.33000000,9351.13000000,9302.00000000,9379.58000000,4555.85339200,1592755200000
9351.14000000,9294.69000000,9281.54000000,9354.29000000,3889.51791500,1592769600000
9294.69000000,9385.69000000,9277.09000000,9399.99000000,5442.67527200,1592784000000
9385.69000000,9419.00000000,9376.14000000,9450.00000000,7917.24069300,1592798400000
9419.01000000,9459.40000000,9399.80000000,9473.03000000,7329.10817600,1592812800000
9459.84000000,9492.26000000,9442.51000000,9509.73000000,10281.90867200,1592827200000
9492.25000000,9563.47000000,9474.13000000,9629.34000000,13846.61505900,1592841600000
9563.51000000,9685.69000000,9563.47000000,9780.00000000,13077.92047100,1592856000000
9685.69000000,9658.22000000,9604.04000000,9720.00000000,8558.85001500,1592870400000
9657.87000000,9663.63000000,9620.07000000,9667.86000000,4674.36624600,1592884800000
9663.63000000,9633.16000000,9577.03000000,9664.96000000,8634.84557100,1592899200000
9634.09000000,9691.99000000,9613.56000000,9692.42000000,8127.35748100,1592913600000
9691.99000000,9640.48000000,9638.89000000,9695.00000000,6339.15469100,1592928000000
9640.02000000,9624.89000000,9590.00000000,9660.98000000,4696.45537600,1592942400000
9624.33000000,9651.16000000,9612.88000000,9665.00000000,3755.78064100,1592956800000
9651.23000000,9512.82000000,9500.00000000,9670.00000000,9670.03890200,1592971200000
9512.82000000,9331.32000000,9313.00000000,9550.00000000,15689.49823100,1592985600000
9331.32000000,9249.93000000,9208.00000000,9430.00000000,17677.51217300,1593000000000
9249.97000000,9299.00000000,9238.96000000,9343.02000000,8401.73397600,1593014400000
9299.00000000,9296.49000000,9233.35000000,9328.46000000,6376.99754100,1593028800000
9298.33000000,9100.36000000,9009.69000000,9306.82000000,14993.94399200,1593043200000
9100.13000000,9173.48000000,9090.17000000,9198.00000000,10000.39505500,1593057600000
9173.70000000,9255.49000000,9173.55000000,9332.94000000,9561.18300700,1593072000000
9255.79000000,9236.77000000,9160.03000000,9269.70000000,8718.07499800,1593086400000
9236.88000000,9287.06000000,9212.00000000,9296.69000000,5919.18813600,1593100800000
9286.39000000,9249.49000000,9215.00000000,9340.00000000,6638.83396800,1593115200000
9249.49000000,9246.83000000,9182.50000000,9298.00000000,5760.63731000,1593129600000
9246.03000000,9146.09000000,9100.18000000,9272.12000000,9590.56032700,1593144000000
9147.20000000,9189.38000000,9091.55000000,9256.75000000,10310.61307600,1593158400000
9189.38000000,9152.01000000,9045.45000000,9232.50000000,13453.91686400,1593172800000
9152.16000000,9166.80000000,9091.00000000,9181.61000000,6441.16823400,1593187200000
9166.81000000,9162.21000000,9147.85000000,9218.00000000,4735.40246600,1593201600000
9162.21000000,9160.25000000,9105.00000000,9187.15000000,4509.73491200,1593216000000
9160.25000000,9174.25000000,9134.48000000,9196.24000000,3489.70872000,1593230400000
9174.37000000,9159.97000000,9120.00000000,9196.00000000,5179.02318600,1593244800000
9159.97000000,9130.76000000,9113.00000000,9178.16000000,4803.07788500,1593259200000
9130.82000000,8938.04000000,8833.00000000,9149.49000000,16503.02939500,1593273600000
8937.45000000,9012.00000000,8900.22000000,9099.00000000,11806.35601500,1593288000000
9012.00000000,8971.80000000,8948.06000000,9015.00000000,2746.15341900,1593302400000
8971.86000000,9023.09000000,8961.21000000,9034.65000000,3229.34381000,1593316800000
9023.42000000,9052.81000000,9003.09000000,9083.57000000,6184.57990300,1593331200000
9052.80000000,9159.42000000,9020.44000000,9179.05000000,8470.48397900,1593345600000
9159.27000000,9112.64000000,9102.50000000,9191.00000000,5339.32527800,1593360000000
9112.12000000,9116.35000000,9075.94000000,9146.00000000,4718.29003200,1593374400000
9116.16000000,9097.01000000,9083.52000000,9148.61000000,4312.86826400,1593388800000
9097.01000000,9096.95000000,9062.39000000,9134.24000000,6120.85567900,1593403200000
9096.91000000,9097.38000000,9061.26000000,9142.00000000,7696.30553100,1593417600000
9097.37000000,9124.75000000,9024.67000000,9135.36000000,9234.29761000,1593432000000
9124.43000000,9158.10000000,9102.03000000,9180.00000000,7104.85144400,1593446400000
9158.10000000,9192.56000000,9146.91000000,9238.00000000,7651.11473300,1593460800000
9192.93000000,9161.65000000,9155.06000000,9205.00000000,4008.79411800,1593475200000
9161.67000000,9144.88000000,9111.94000000,9178.87000000,5503.83236400,1593489600000
9144.34000000,9148.90000000,9113.55000000,9174.00000000,4894.29270900,1593504000000
9148.89000000,9169.57000000,9064.89000000,9189.00000000,9169.76812400,1593518400000
9169.99000000,9134.73000000,9095.12000000,9179.29000000,4702.33506100,1593532800000
9134.29000000,9138.55000000,9125.00000000,9172.44000000,3184.14042500,1593547200000
9138.08000000,9138.59000000,9080.10000000,9146.67000000,4278.11376200,1593561600000
9138.55000000,9135.37000000,9125.31000000,9162.85000000,4286.20629200,1593576000000
9135.37000000,9158.98000000,9133.10000000,9200.00000000,6935.66489700,1593590400000
9159.06000000,9263.94000000,9135.07000000,9268.38000000,10514.15962900,1593604800000
9263.83000000,9240.01000000,9232.70000000,9292.00000000,8361.79872400,1593619200000
9240.01000000,9232.00000000,9210.16000000,9259.97000000,4112.58539500,1593633600000
9231.99000000,9237.88000000,9215.12000000,9261.96000000,3378.86468700,1593648000000
9237.88000000,9208.00000000,9166.60000000,9260.84000000,6203.78813200,1593662400000
9208.33000000,9197.01000000,9170.01000000,9220.00000000,6246.19480500,1593676800000
9196.79000000,9048.92000000,9025.00000000,9257.72000000,12861.96148900,1593691200000
9048.92000000,9055.15000000,8940.00000000,9082.24000000,11356.83857500,1593705600000
9055.14000000,9086.54000000,9035.00000000,9150.00000000,5677.52038800,1593720000000
9086.54000000,9092.84000000,9064.67000000,9123.07000000,3633.25728900,1593734400000
9093.77000000,9105.05000000,9076.03000000,9118.36000000,3962.58811900,1593748800000
9105.25000000,9097.00000000,9038.70000000,9125.00000000,7492.81558400,1593763200000
9097.00000000,9100.39000000,9075.00000000,9122.00000000,5347.17160000,1593777600000
9100.38000000,9085.72000000,9067.67000000,9114.00000000,4656.31823600,1593792000000
9085.70000000,9058.26000000,9037.47000000,9104.00000000,3851.26934900,1593806400000
9057.79000000,9085.02000000,9045.34000000,9099.00000000,3375.51940000,1593820800000
9084.96000000,9073.54000000,9067.19000000,9095.00000000,2913.40007100,1593835200000
9073.60000000,9057.69000000,9051.43000000,9085.00000000,4320.62692200,1593849600000
9058.42000000,9066.01000000,9040.04000000,9085.00000000,4706.89341400,1593864000000
9066.00000000,9129.31000000,9061.55000000,9190.00000000,8099.35520500,1593878400000
9129.31000000,9135.46000000,9108.33000000,9146.86000000,3026.17347200,1593892800000
9135.00000000,9129.80000000,9112.38000000,9145.24000000,3540.37609800,1593907200000
9128.98000000,9061.99000000,9040.00000000,9132.44000000,7177.48141800,1593921600000
9062.17000000,9034.48000000,8980.00000000,9074.85000000,6377.68074400,1593936000000
9034.54000000,9028.00000000,8997.93000000,9068.00000000,5244.22248000,1593950400000
9028.25000000,9029.23000000,9018.05000000,9053.64000000,3146.87731000,1593964800000
9029.23000000,9069.41000000,8893.03000000,9108.46000000,8587.01557700,1593979200000
9069.41000000,9087.91000000,9055.92000000,9119.12000000,4649.33218300,1593993600000
9087.91000000,9200.08000000,9078.68000000,9240.00000000,13199.23345700,1594008000000
9200.08000000,9222.96000000,9172.00000000,9229.96000000,7768.82083300,1594022400000
9223.00000000,9305.02000000,9195.71000000,9320.00000000,13366.26443200,1594036800000
9305.02000000,9289.65000000,9262.44000000,9349.00000000,8676.77979700,1594051200000
9289.62000000,9344.20000000,9255.92000000,9375.00000000,6802.70157500,1594065600000
9342.47000000,9295.58000000,9256.40000000,9379.42000000,6496.98018500,1594080000000
9295.58000000,9262.01000000,9238.00000000,9307.53000000,5907.48869000,1594094400000
9262.02000000,9270.52000000,9220.04000000,9275.33000000,5489.66510100,1594108800000
9270.52000000,9275.66000000,9236.00000000,9290.28000000,6267.62099400,1594123200000
9275.64000000,9238.50000000,9230.00000000,9284.07000000,5381.15537500,1594137600000
9238.50000000,9257.39000000,9203.00000000,9270.00000000,5044.42633300,1594152000000
9257.40000000,9311.23000000,9231.00000000,9322.59000000,7669.83315300,1594166400000
9311.23000000,9284.15000000,9253.51000000,9320.00000000,6540.99805000,1594180800000
9284.14000000,9309.83000000,9238.00000000,9310.00000000,7707.26045400,1594195200000
9309.83000000,9411.72000000,9284.00000000,9470.00000000,17993.34607800,1594209600000
9411.38000000,9430.00000000,9381.60000000,9445.00000000,7673.67049400,1594224000000
9430.00000000,9436.06000000,9406.48000000,9468.00000000,8555.40955200,1594238400000
9436.06000000,9385.02000000,9360.00000000,9440.79000000,7103.57884400,1594252800000
9385.02000000,9402.32000000,9375.95000000,9419.61000000,5802.74254700,1594267200000
9402.58000000,9401.71000000,9326.00000000,9405.00000000,7021.16784000,1594281600000
9401.70000000,9208.58000000,9160.00000000,9432.92000000,16571.96438200,1594296000000
9208.58000000,9218.14000000,9185.33000000,9239.53000000,7212.48329500,1594310400000
